year,scenario,continent,fao_official,name,min_change,mean_change,median_change,max_change,sd_change
2094,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-20.89,-7.22,-6.58,4.17,7.28
2094,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-44.87,-16.25,-18.19,6.3,15.71
2095,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-12.47,-6.04,-6.4,2.36,4.75
2095,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-39.36,-16.54,-18.13,3.35,13.75
2096,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-21.11,-7.59,-7.76,1.55,6.58
2096,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-42,-16.04,-17.53,6.55,14.94
2097,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-18.85,-8.4,-7.72,0.16,6.14
2097,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-37.82,-16.64,-17.19,5.85,14.04
2098,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-16.25,-8.14,-8.42,2.9,6.23
2098,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-44.08,-18.38,-18.9,5.9,14.89
2099,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-13.4,-7.3,-8.45,2.58,4.87
2099,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-41.68,-17.69,-18.33,5.49,14.43
2100,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-12.69,-7.55,-8.2,-1.06,3.94
2100,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-40.35,-18.18,-18.99,4.74,14.29
