year,scenario,so,min_change,mean_change,median_change,max_change,sd_change,tooltip
2066,ssp126,Southern Ocean,-12.95,-2.77,-3.12,3.15,4.5,"Year: 2066
Mean change: -2.8%
SD: ±4.5%"
2066,ssp585,Southern Ocean,-11.61,-1.39,-1.28,8.4,6.21,"Year: 2066
Mean change: -1.4%
SD: ±6.2%"
2067,ssp126,Southern Ocean,-12.96,-4.13,-3.48,2.34,4.96,"Year: 2067
Mean change: -4.1%
SD: ±5%"
2067,ssp585,Southern Ocean,-11.97,-3.25,-3.29,5.88,5.28,"Year: 2067
Mean change: -3.2%
SD: ±5.3%"
2068,ssp126,Southern Ocean,-13.19,-3.5,-2.85,0.04,3.95,"Year: 2068
Mean change: -3.5%
SD: ±4%"
2068,ssp585,Southern Ocean,-12.24,-3.6,-3.53,5.37,5.52,"Year: 2068
Mean change: -3.6%
SD: ±5.5%"
2069,ssp126,Southern Ocean,-12.94,-3.38,-3.42,1.32,3.89,"Year: 2069
Mean change: -3.4%
SD: ±3.9%"
2069,ssp585,Southern Ocean,-12.64,-2.83,-3.68,3.54,5.11,"Year: 2069
Mean change: -2.8%
SD: ±5.1%"
2070,ssp126,Southern Ocean,-12.26,-2.22,-2.26,5.16,4.69,"Year: 2070
Mean change: -2.2%
SD: ±4.7%"
2070,ssp585,Southern Ocean,-12.91,-3.82,-4.24,3.58,4.74,"Year: 2070
Mean change: -3.8%
SD: ±4.7%"
2071,ssp126,Southern Ocean,-11.58,-1.88,-2.62,5.62,4.79,"Year: 2071
Mean change: -1.9%
SD: ±4.8%"
2071,ssp585,Southern Ocean,-12.99,-3.29,-3.47,4.59,5,"Year: 2071
Mean change: -3.3%
SD: ±5%"
2072,ssp126,Southern Ocean,-11,-3.32,-3.34,2.62,3.71,"Year: 2072
Mean change: -3.3%
SD: ±3.7%"
2072,ssp585,Southern Ocean,-12.81,-2.69,-3.33,6.1,5.59,"Year: 2072
Mean change: -2.7%
SD: ±5.6%"
2073,ssp126,Southern Ocean,-10.67,-3.51,-3.61,2.56,3.76,"Year: 2073
Mean change: -3.5%
SD: ±3.8%"
2073,ssp585,Southern Ocean,-12.64,-2.17,-3.1,6.64,5.84,"Year: 2073
Mean change: -2.2%
SD: ±5.8%"
2074,ssp126,Southern Ocean,-10.53,-2.14,-2.38,2.93,4.19,"Year: 2074
Mean change: -2.1%
SD: ±4.2%"
2074,ssp585,Southern Ocean,-12.65,-1.12,-2.19,8.01,6.35,"Year: 2074
Mean change: -1.1%
SD: ±6.3%"
2075,ssp126,Southern Ocean,-10.33,-3.03,-2.85,2.32,3.34,"Year: 2075
Mean change: -3%
SD: ±3.3%"
