year,scenario,mpa,min_change,mean_change,median_change,max_change,sd_change,tooltip
1971,historical,GPZiii,-43.7,2.24,3.15,39.05,22.61,"Year: 1971
Mean change: 2.2%
SD: ±22.6%"
1971,historical,KRZ,-26.78,4.52,5.38,27.61,15.02,"Year: 1971
Mean change: 4.5%
SD: ±15%"
1971,historical,SOSS,-36.29,-10.25,-8.87,13.51,15.55,"Year: 1971
Mean change: -10.2%
SD: ±15.6%"
1971,historical,SRZ,-40.95,-5,-9.16,30.65,22.98,"Year: 1971
Mean change: -5%
SD: ±23%"
1972,historical,GPZi,-24.24,-1.66,2.83,21.98,15.88,"Year: 1972
Mean change: -1.7%
SD: ±15.9%"
1972,historical,GPZii,-17.99,-1.42,-0.46,9.59,7.53,"Year: 1972
Mean change: -1.4%
SD: ±7.5%"
1972,historical,GPZiii,-44.36,-1.94,-5.17,33.3,23.95,"Year: 1972
Mean change: -1.9%
SD: ±24%"
1972,historical,KRZ,-27.95,-3.65,-1.21,21.87,18.57,"Year: 1972
Mean change: -3.6%
SD: ±18.6%"
1972,historical,SOSS,-33.44,-8.29,-3.44,4.07,12.92,"Year: 1972
Mean change: -8.3%
SD: ±12.9%"
1972,historical,SRZ,-43.21,-5.66,-0.59,22.13,21.61,"Year: 1972
Mean change: -5.7%
SD: ±21.6%"
1973,historical,GPZi,-17.17,1.8,3.82,18.89,12.17,"Year: 1973
Mean change: 1.8%
SD: ±12.2%"
1973,historical,GPZii,-25.42,-7.51,-4.17,7.7,10.43,"Year: 1973
Mean change: -7.5%
SD: ±10.4%"
1973,historical,GPZiii,-44.97,1.44,4.64,35.99,22.72,"Year: 1973
Mean change: 1.4%
SD: ±22.7%"
1973,historical,KRZ,-27.11,-4.02,-2.82,16.62,17.29,"Year: 1973
Mean change: -4%
SD: ±17.3%"
1973,historical,SOSS,-29.32,-3.01,0.02,8.42,11.24,"Year: 1973
Mean change: -3%
SD: ±11.2%"
1973,historical,SRZ,-20.62,7.26,7.75,33.96,15.8,"Year: 1973
Mean change: 7.3%
SD: ±15.8%"
1974,historical,GPZi,-21.25,-4.66,-5.27,16.16,13.65,"Year: 1974
Mean change: -4.7%
SD: ±13.7%"
1974,historical,GPZii,-23.21,-2.95,-3.32,23.33,11.46,"Year: 1974
Mean change: -3%
SD: ±11.5%"
1974,historical,GPZiii,-45.42,-2.05,2.2,18.76,19.62,"Year: 1974
Mean change: -2%
SD: ±19.6%"
1974,historical,KRZ,-28.73,-6.99,-7.22,11.78,16.42,"Year: 1974
Mean change: -7%
SD: ±16.4%"
1974,historical,SOSS,-17.54,-2.45,-0.81,9.17,8.51,"Year: 1974
Mean change: -2.5%
SD: ±8.5%"
1974,historical,SRZ,-52.99,-12.15,-1.05,13.56,25.45,"Year: 1974
Mean change: -12.2%
SD: ±25.4%"
1975,historical,GPZi,-19.98,-3.82,-4.5,13.49,12.8,"Year: 1975
Mean change: -3.8%
SD: ±12.8%"
1975,historical,GPZii,-18.48,0.71,-2.48,27.96,13.23,"Year: 1975
Mean change: 0.7%
SD: ±13.2%"
1975,historical,GPZiii,-45.72,-5.91,-4.31,18.26,17.64,"Year: 1975
Mean change: -5.9%
SD: ±17.6%"
1975,historical,KRZ,-27.18,-4.18,-2.4,9.51,11.8,"Year: 1975
Mean change: -4.2%
SD: ±11.8%"
1975,historical,SOSS,-32.81,-9.43,-4.34,6.35,12.71,"Year: 1975
Mean change: -9.4%
SD: ±12.7%"
1975,historical,SRZ,-43.3,-11.33,-2.88,9.94,20.78,"Year: 1975
Mean change: -11.3%
SD: ±20.8%"
1976,historical,GPZi,-17.2,2.14,3.18,18.37,11.06,"Year: 1976
Mean change: 2.1%
SD: ±11.1%"
1976,historical,GPZii,-21.35,-1.35,-1.49,11.66,8.95,"Year: 1976
Mean change: -1.4%
SD: ±8.9%"
1976,historical,GPZiii,-45.92,-4.38,-1.21,17.52,17.18,"Year: 1976
Mean change: -4.4%
SD: ±17.2%"
1976,historical,KRZ,-26.88,0.15,7.63,10.97,12.88,"Year: 1976
Mean change: 0.1%
SD: ±12.9%"
1976,historical,SOSS,-37.13,-4.37,-3.23,15.9,13.47,"Year: 1976
Mean change: -4.4%
SD: ±13.5%"
1976,historical,SRZ,-20.43,8.76,8.42,60.96,23.74,"Year: 1976
Mean change: 8.8%
SD: ±23.7%"
1977,historical,GPZi,-14.36,-3.09,-5.26,14.49,9.3,"Year: 1977
Mean change: -3.1%
SD: ±9.3%"
1977,historical,GPZii,-17.64,0.02,-0.24,14.21,9.19,"Year: 1977
Mean change: 0%
SD: ±9.2%"
1977,historical,GPZiii,-46.04,-8.1,-5.5,16.53,18.81,"Year: 1977
Mean change: -8.1%
SD: ±18.8%"
1977,historical,KRZ,-26.52,-2.91,-0.68,9.32,10.23,"Year: 1977
Mean change: -2.9%
SD: ±10.2%"
1977,historical,SOSS,-31.07,-4.45,-1.67,27.2,16.74,"Year: 1977
Mean change: -4.4%
SD: ±16.7%"
1977,historical,SRZ,-20.5,-4.18,-2.77,13.3,11.06,"Year: 1977
Mean change: -4.2%
SD: ±11.1%"
1978,historical,GPZi,-14.16,-2.42,-3.38,13.83,9.18,"Year: 1978
Mean change: -2.4%
SD: ±9.2%"
1978,historical,GPZii,-14.14,0.59,-0.74,19.28,8.94,"Year: 1978
Mean change: 0.6%
SD: ±8.9%"
1978,historical,GPZiii,-46.06,-8.46,-4.61,13.58,15.18,"Year: 1978
Mean change: -8.5%
SD: ±15.2%"
1978,historical,KRZ,-25.98,2.83,4.54,30.72,15.38,"Year: 1978
Mean change: 2.8%
SD: ±15.4%"
1978,historical,SOSS,-34.66,-6.61,-6.25,40.21,21,"Year: 1978
Mean change: -6.6%
SD: ±21%"
1978,historical,SRZ,-20.5,-0.45,2.59,16.87,13.02,"Year: 1978
Mean change: -0.4%
SD: ±13%"
1979,historical,GPZi,-15.32,-1.06,1.82,13.15,9.86,"Year: 1979
Mean change: -1.1%
SD: ±9.9%"
1979,historical,GPZii,-14.76,2.92,0.09,29.76,12.89,"Year: 1979
Mean change: 2.9%
SD: ±12.9%"
1979,historical,GPZiii,-46.02,1.29,-0.35,48.8,23.94,"Year: 1979
Mean change: 1.3%
SD: ±23.9%"
1979,historical,KRZ,-25.31,-0.23,3.76,9.59,10.18,"Year: 1979
Mean change: -0.2%
SD: ±10.2%"
1979,historical,SOSS,-22.21,-6.18,-4,5.15,9.63,"Year: 1979
Mean change: -6.2%
SD: ±9.6%"
1979,historical,SRZ,-31.49,-4.3,-7.07,30.31,21.19,"Year: 1979
Mean change: -4.3%
SD: ±21.2%"
1980,historical,GPZi,-13.59,1.22,3.64,13.3,8.29,"Year: 1980
Mean change: 1.2%
SD: ±8.3%"
1980,historical,GPZii,-13.03,-3.68,-3.24,6.77,5.99,"Year: 1980
Mean change: -3.7%
SD: ±6%"
1980,historical,GPZiii,-45.9,-0.5,-3.56,37.64,21.86,"Year: 1980
Mean change: -0.5%
SD: ±21.9%"
1980,historical,KRZ,-24.71,1.25,3.57,8.58,9.53,"Year: 1980
Mean change: 1.2%
SD: ±9.5%"
1980,historical,SOSS,-6.88,4.23,3.2,18.82,9.03,"Year: 1980
Mean change: 4.2%
SD: ±9%"
1980,historical,SRZ,-20.27,4.42,8.19,21.39,14.11,"Year: 1980
Mean change: 4.4%
SD: ±14.1%"
1981,historical,GPZi,-23.25,-5.37,-5.6,15.11,13.1,"Year: 1981
Mean change: -5.4%
SD: ±13.1%"
1981,historical,GPZii,-13.44,-5.54,-7.1,4.8,5.87,"Year: 1981
Mean change: -5.5%
SD: ±5.9%"
1981,historical,GPZiii,-45.71,9.07,14.88,42.26,26.07,"Year: 1981
Mean change: 9.1%
SD: ±26.1%"
1981,historical,KRZ,-32.72,-6.51,0.99,9.26,15.64,"Year: 1981
Mean change: -6.5%
SD: ±15.6%"
1981,historical,SOSS,-4.9,0.02,-1.91,9.34,5.14,"Year: 1981
Mean change: 0%
SD: ±5.1%"
1981,historical,SRZ,-62.47,-15.68,-11.14,14.54,26.17,"Year: 1981
Mean change: -15.7%
SD: ±26.2%"
1982,historical,GPZi,-12.88,-3.48,-1.92,9.43,7.65,"Year: 1982
Mean change: -3.5%
SD: ±7.7%"
1982,historical,GPZii,-17.03,-1.85,-2.29,16.35,9.34,"Year: 1982
Mean change: -1.9%
SD: ±9.3%"
1982,historical,GPZiii,-45.47,-7.69,-3.72,36.87,26.24,"Year: 1982
Mean change: -7.7%
SD: ±26.2%"
1982,historical,KRZ,-24.06,-4.74,-3.03,4.12,8.85,"Year: 1982
Mean change: -4.7%
SD: ±8.8%"
1982,historical,SOSS,-21.66,-1.08,-1.41,21.25,13.07,"Year: 1982
Mean change: -1.1%
SD: ±13.1%"
1982,historical,SRZ,-19.98,-1.25,0.72,7.07,8.35,"Year: 1982
Mean change: -1.2%
SD: ±8.3%"
1983,historical,GPZi,-31.76,-7.2,-6.74,16.21,16.37,"Year: 1983
Mean change: -7.2%
SD: ±16.4%"
1983,historical,GPZii,-16.29,1.9,-0.65,31.3,13.82,"Year: 1983
Mean change: 1.9%
SD: ±13.8%"
1983,historical,GPZiii,-45.21,-6.3,-3.37,10.29,16.3,"Year: 1983
Mean change: -6.3%
SD: ±16.3%"
1983,historical,KRZ,-23.7,0.38,4.29,18.64,12.57,"Year: 1983
Mean change: 0.4%
SD: ±12.6%"
1983,historical,SOSS,-27.87,-8.89,-8.65,4.23,10.53,"Year: 1983
Mean change: -8.9%
SD: ±10.5%"
1983,historical,SRZ,-55.44,-11.52,-1.89,18.13,25.98,"Year: 1983
Mean change: -11.5%
SD: ±26%"
1984,historical,GPZi,-21.98,-0.53,-0.91,17.06,13.95,"Year: 1984
Mean change: -0.5%
SD: ±13.9%"
1984,historical,GPZii,-10.35,4.32,2.97,22.14,9.06,"Year: 1984
Mean change: 4.3%
SD: ±9.1%"
1984,historical,GPZiii,-44.77,9.45,9.19,50.53,28.8,"Year: 1984
Mean change: 9.4%
SD: ±28.8%"
