year,scenario,min_change,mean_change,median_change,max_change,sd_change,region_name,tooltip
2066,ssp585,-10.63,2.48,4.27,11.41,6.81,Atlantic,"Year: 2066
Mean change: 2.5%
SD: ±6.8%"
2067,ssp126,-11.85,-3.23,-3.35,4.73,4.73,Atlantic,"Year: 2067
Mean change: -3.2%
SD: ±4.7%"
2067,ssp585,-10.43,-0.04,0.15,8.09,5.36,Atlantic,"Year: 2067
Mean change: 0%
SD: ±5.4%"
2068,ssp126,-12.06,-1.81,-1.87,4.98,4.4,Atlantic,"Year: 2068
Mean change: -1.8%
SD: ±4.4%"
2068,ssp585,-10.22,-1.16,-1.33,10.4,6.71,Atlantic,"Year: 2068
Mean change: -1.2%
SD: ±6.7%"
2069,ssp126,-11.96,-1.63,-2.16,4.45,4.66,Atlantic,"Year: 2069
Mean change: -1.6%
SD: ±4.7%"
2069,ssp585,-10.38,0.75,0.17,10.7,6.4,Atlantic,"Year: 2069
Mean change: 0.8%
SD: ±6.4%"
2070,ssp126,-11.63,-1.15,-1.68,7.05,6.18,Atlantic,"Year: 2070
Mean change: -1.1%
SD: ±6.2%"
2070,ssp585,-10.56,-1.06,-1.18,10.87,5.5,Atlantic,"Year: 2070
Mean change: -1.1%
SD: ±5.5%"
2071,ssp126,-11.3,0.14,-0.08,6.23,5.13,Atlantic,"Year: 2071
Mean change: 0.1%
SD: ±5.1%"
2071,ssp585,-10.62,-0.14,-0.47,12.7,6.13,Atlantic,"Year: 2071
Mean change: -0.1%
SD: ±6.1%"
2072,ssp126,-10.79,-1.64,-1.52,2.89,3.75,Atlantic,"Year: 2072
Mean change: -1.6%
SD: ±3.8%"
2072,ssp585,-10.25,0.58,0.46,12.44,6.17,Atlantic,"Year: 2072
Mean change: 0.6%
SD: ±6.2%"
2073,ssp126,-10.41,-2.73,-2.42,3.45,3.44,Atlantic,"Year: 2073
Mean change: -2.7%
SD: ±3.4%"
2073,ssp585,-9.95,1.16,0.3,12.94,6.5,Atlantic,"Year: 2073
Mean change: 1.2%
SD: ±6.5%"
2074,ssp126,-10.09,0.81,1.13,9.84,5.35,Atlantic,"Year: 2074
Mean change: 0.8%
SD: ±5.3%"
2074,ssp585,-10.01,2.15,1.71,13.53,7.2,Atlantic,"Year: 2074
Mean change: 2.1%
SD: ±7.2%"
2075,ssp126,-9.81,-2.15,-1.71,3.04,3.31,Atlantic,"Year: 2075
Mean change: -2.1%
SD: ±3.3%"
2075,ssp585,-10.57,-0.83,-0.79,13.16,6.05,Atlantic,"Year: 2075
Mean change: -0.8%
SD: ±6%"
2076,ssp126,-9.42,-1.41,-1.16,2.64,3.42,Atlantic,"Year: 2076
Mean change: -1.4%
SD: ±3.4%"
2076,ssp585,-11.37,-0.03,-0.93,12.27,7.76,Atlantic,"Year: 2076
Mean change: 0%
SD: ±7.8%"
2077,ssp126,-9.3,-2.12,-2.57,3.12,3.57,Atlantic,"Year: 2077
Mean change: -2.1%
SD: ±3.6%"
2077,ssp585,-12.33,-1.37,-1.71,12.47,7.63,Atlantic,"Year: 2077
Mean change: -1.4%
SD: ±7.6%"
2078,ssp126,-9.6,-3.93,-3.42,2.76,4.17,Atlantic,"Year: 2078
Mean change: -3.9%
SD: ±4.2%"
2078,ssp585,-13.22,-0.96,-0.98,12.79,6.87,Atlantic,"Year: 2078
Mean change: -1%
SD: ±6.9%"
2079,ssp126,-9.63,-3.08,-2.75,1.36,3.02,Atlantic,"Year: 2079
Mean change: -3.1%
SD: ±3%"
2079,ssp585,-13.91,-0.65,0.02,13.18,6.99,Atlantic,"Year: 2079
Mean change: -0.7%
SD: ±7%"
2080,ssp126,-9.63,-1.96,-2.37,5.23,4.05,Atlantic,"Year: 2080
Mean change: -2%
SD: ±4%"
2080,ssp585,-14.36,-1.57,-2.07,13.08,7.58,Atlantic,"Year: 2080
Mean change: -1.6%
SD: ±7.6%"
2081,ssp126,-10.41,-2.47,-2.81,5.91,4.8,Atlantic,"Year: 2081
Mean change: -2.5%
SD: ±4.8%"
2081,ssp585,-14.44,0.27,0.15,12.71,7.96,Atlantic,"Year: 2081
Mean change: 0.3%
SD: ±8%"
2082,ssp126,-12.24,-3.71,-2.96,7.76,6.44,Atlantic,"Year: 2082
Mean change: -3.7%
SD: ±6.4%"
2082,ssp585,-14.51,-1.17,-1.21,10.19,7.48,Atlantic,"Year: 2082
Mean change: -1.2%
SD: ±7.5%"
2083,ssp126,-13.3,-2.41,-2.56,8.55,5.66,Atlantic,"Year: 2083
Mean change: -2.4%
SD: ±5.7%"
2083,ssp585,-14.87,-2.66,-1.9,8.07,6.67,Atlantic,"Year: 2083
Mean change: -2.7%
SD: ±6.7%"
2084,ssp126,-14.6,0.17,-2.23,11.79,7.66,Atlantic,"Year: 2084
Mean change: 0.2%
SD: ±7.7%"
2084,ssp585,-15.73,-1.49,-0.14,8.33,8.13,Atlantic,"Year: 2084
Mean change: -1.5%
SD: ±8.1%"
2085,ssp126,-15.41,-2.24,-1.69,8.56,5.93,Atlantic,"Year: 2085
Mean change: -2.2%
SD: ±5.9%"
2085,ssp585,-17.05,-2.41,-1.9,8.71,7.3,Atlantic,"Year: 2085
Mean change: -2.4%
SD: ±7.3%"
2086,ssp126,-15.91,-2.96,-2.2,6.42,5.65,Atlantic,"Year: 2086
Mean change: -3%
SD: ±5.7%"
2086,ssp585,-18.2,-2.02,-1.56,9.86,7.41,Atlantic,"Year: 2086
Mean change: -2%
SD: ±7.4%"
2087,ssp126,-16.32,-1.9,-1.7,5.38,5.91,Atlantic,"Year: 2087
Mean change: -1.9%
SD: ±5.9%"
